NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2235,5.878,80,18,51,Semillero,En Pie,18S,600489,9115821,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2239,14.744,125,13,51,Aprovechable,En Pie,18S,600665,9115820,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2240,18.566,130,16,51,Aprovechable,En Pie,18S,600998,9115796,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2241,19.106,110,22,51,Aprovechable,En Pie,18S,600723,9115804,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,3645,15.526,110,18,51,Aprovechable,En Pie,18S,603577,9115779,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,3656,5.166,75,18,51,Aprovechable,En Pie,18S,602943,9115813,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,3659,4.958,65,23,51,Semillero,En Pie,18S,602780,9115755,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,3662,6.636,85,18,51,Aprovechable,En Pie,18S,602468,9115781,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,3667,18.988,120,21,51,Aprovechable,En Pie,18S,601498,9115794,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2066,15.617,120,16,51,Aprovechable,En Pie,18S,601155,9115125,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2937,13.808,95,22,51,Aprovechable,En Pie,18S,601807,9115119,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2938,6.968,70,21,51,Aprovechable,En Pie,18S,601801,9115148,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2943,20.122,100,31,51,Aprovechable,En Pie,18S,602204,9115157,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2949,10.644,90,21,51,Aprovechable,En Pie,18S,602648,9115125,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F10,2951,11.377,100,20,51,Aprovechable,En Pie,18S,602766,9115164,PC 12,
