x,y,feature_id,label,type
646292.9409117792,8876712.011651851,437,shihuahuaco,center
646294.4780670281,8876706.811651852,438,shihuahuaco,center
633812.6717785202,8860081.535547499,439,yacushapana,slide
634081.7808220853,8860057.268041292,440,yacushapana,slide
643364.6684990028,8876800.240174048,441,shihuahuaco,slide
643623.9288218179,8877001.655086685,442,shihuahuaco,center
643876.7782611317,8877116.503216175,443,shihuahuaco,center
643891.4534017694,8877121.690061161,444,shihuahuaco,center
643873.2923824108,8877207.07843775,445,shihuahuaco,center
643888.8737962819,8877235.409898838,446,shihuahuaco,center
634154.519310172,8860171.222187141,447,yacushapana,slide
633690.4268920524,8860194.600279188,448,yacushapana,slide
646509.9702686797,8876757.7241947,449,shihuahuaco,center
647082.3329804316,8876592.513272595,450,shihuahuaco,center
647085.6465794783,8876587.37116903,451,shihuahuaco,center
646440.9431683299,8876740.299324684,452,shihuahuaco,center
646644.7724860406,8876681.812430356,453,shihuahuaco,center
646288.4373200027,8876601.804257317,454,shihuahuaco,center
587973.3519645395,8773486.481606841,455,ana caspi,slide
588041.6235242113,8773367.542701,456,almendro,slide
590874.6403588552,8771012.471582476,457,yacushapana,center
588032.3089965351,8773408.319468156,458,almendro,slide
588006.5615886191,8773317.70051707,459,almendro,slide
590788.4858225735,8771213.096296191,460,yacushapana,center
590953.2479082366,8771115.824093662,461,yacushapana,center
590877.937557616,8771100.024352714,462,yacushapana,center
590841.6900902146,8770909.231254792,463,yacushapana,center
591043.0267371509,8770832.956110844,464,yacushapana,center
590765.0751897721,8771123.813266203,465,yacushapana,center
590783.977759798,8771033.354785448,466,yacushapana,center
590743.5977192755,8771004.191823412,467,yacushapana,center
590722.8805347604,8771031.773000801,468,yacushapana,center
590797.2897966766,8771125.290948963,469,yacushapana,center
588007.8790377135,8773386.282333344,470,almendro,slide
588064.3924782836,8773453.727950368,471,ana caspi,slide
588081.0481860841,8773472.369557401,472,ana caspi,slide
588024.5613900555,8773406.083440563,473,almendro,slide
590848.3503322956,8770976.192746606,474,yacushapana,center
590859.9389266588,8770942.220584517,475,yacushapana,center
590840.4403485928,8770962.413227249,476,yacushapana,center
590836.6259026921,8770957.21322725,477,yacushapana,center
590817.4251090582,8770929.453180796,478,yacushapana,center
590821.3292671624,8770918.315767495,479,yacushapana,center
590833.617519326,8770924.72721434,480,yacushapana,center
588345.6076341678,8773100.70111797,481,yacushapana,slide
590826.0284851185,8771207.056453573,482,yacushapana,center
588140.1022032357,8773382.008631863,483,almendro,slide
588107.6957597208,8773218.26053316,484,almendro,slide
588445.0687865777,8773421.814625897,485,almendro,slide
589973.8517831707,8772012.299474325,486,ana caspi,slide
591018.2102031008,8770775.498702794,487,yacushapana,center
486995.6533429271,9121378.126727376,488,copaiba,center
487091.6570362334,9121312.31835688,489,copaiba,center
489575.8893695305,9119933.195678256,490,caoba,center
490886.4313144121,9119916.578649765,491,lupuna,center
487440.330732881,9121325.234858606,492,copaiba,center
491226.4971761779,9118908.11132574,493,huimba,center
490815.01205375977,9119043.228339223,494,huimba,center
490590.2770701877,9119022.296559146,495,huimba,center
490653.7646992757,9118879.09435396,496,huimba,center
487365.1681326401,9121081.535067145,497,shihuahuaco,center
489657.0078404076,9119647.611182114,498,caoba,center
487027.6438607478,9120463.408336587,499,capirona,center
487087.1733568767,9120375.255138714,500,capirona,center
487373.609815612,9120467.259663273,501,capirona,center
490898.3913766786,9120302.82973443,502,lupuna,center
490498.7686423964,9119328.456390971,503,huimba,center
487518.20208544575,9120803.469180517,504,shihuahuaco,center
487505.8861082692,9120951.43587543,505,shihuahuaco,center
487622.7155243513,9120795.326880734,506,shihuahuaco,center
487632.1886512186,9120809.619757917,507,shihuahuaco,center
487493.0080724079,9121202.12115725,508,copaiba,center
487494.4906124487,9121290.774665983,509,copaiba,center
487810.3445228739,9121042.843401968,510,shihuahuaco,center
487637.3980448374,9121097.117249876,511,shihuahuaco,center
490546.3301493746,9118879.241030866,512,huimba,center
491135.52783906687,9118918.260400116,513,huimba,center
486843.13648604,9121502.24084595,514,copaiba,center
486954.77664266486,9121515.866687125,515,copaiba,center
487358.1222697387,9121376.457620526,516,copaiba,center
487053.90356440906,9121553.23750101,517,copaiba,center
487412.0581811336,9120321.9757925,518,capirona,slide
487185.4624482414,9121411.241865614,519,copaiba,center
487049.600542828,9121258.958004529,520,copaiba,center
489810.6072424892,9119916.912886253,521,caoba,center
489737.19905289565,9119817.459999084,522,caoba,center
489729.9094408315,9119574.371340515,523,caoba,center
489695.060643686,9119599.790372884,524,caoba,center
489438.370181416,9119838.439838722,525,caoba,slide
487387.7880745081,9121032.691692278,526,shihuahuaco,center
487509.1513092751,9121406.804994646,527,copaiba,center
487236.9820716611,9121421.92097365,528,copaiba,center
487386.62457489886,9121550.645184424,529,copaiba,center
487329.4772697583,9120310.374019856,530,capirona,center
487291.1861180897,9120440.655020816,531,capirona,center
487053.2827020579,9120488.787461163,532,capirona,center
487045.1054734213,9120470.844709536,533,capirona,center
487351.93913402944,9121053.464258766,534,shihuahuaco,center
487783.2424482752,9121111.476143071,535,shihuahuaco,center
575974.3540595092,8694566.753654601,591,shihuahuaco,slide
576020.9080849142,8694570.146222096,592,shihuahuaco,slide
489099.2557540492,9121763.59214874,593,shihuahuaco,center
489099.2557540492,9121763.59214874,594,shihuahuaco,center
488915.9459347892,9121881.112996273,595,shihuahuaco,slide
489442.37427683023,9121750.763370048,596,shihuahuaco,center
489513.6330079358,9121833.6311881,597,shihuahuaco,center
489534.0865598344,9121833.012893517,598,shihuahuaco,center
489660.2869185124,9121873.533031208,599,shihuahuaco,center
489430.7153894582,9122034.425593728,600,shihuahuaco,center
489552.9231969848,9122112.685472503,601,shihuahuaco,center
489710.07654396544,9122043.570490357,602,palo baston,slide
489594.3409675456,9122244.668946968,603,shihuahuaco,center
489574.56123484,9122194.14384756,604,shihuahuaco,center
489539.7596013227,9122263.525932193,605,shihuahuaco,center
489273.0634290309,9122347.082629053,606,shihuahuaco,center
489364.79144211806,9122448.223340746,607,shihuahuaco,center
489318.881036258,9122439.605863145,608,shihuahuaco,center
489162.9646950641,9122313.95123419,609,shihuahuaco,center
488980.3882041504,9122218.982707018,610,shihuahuaco,center
488950.17231629393,9122438.94489804,611,shihuahuaco,center
489851.83534339216,9121863.69448924,612,copaiba,center
489864.2430737656,9121925.86027549,613,copaiba,center
489956.3368451638,9121982.856278928,614,copaiba,center
490282.4102926866,9122003.99598573,615,copaiba,slide
490282.69695893046,9122019.59533397,616,copaiba,slide
490292.269772396,9121922.042489288,617,copaiba,slide
490226.4130781258,9121644.96936022,618,copaiba,center
490348.7358627816,9121618.231174724,619,copaiba,slide
490064.5753614676,9121561.588497348,620,copaiba,slide
490095.693358125,9121606.898876691,621,copaiba,slide
490320.6958339412,9121508.916549964,622,copaiba,slide
490321.8852010153,9121505.403889311,623,copaiba,slide
490583.1676633765,9122390.056172438,624,ishpingo,slide
489299.07459782,9122422.407133851,625,shihuahuaco,center
489275.300925676,9122378.61631179,626,shihuahuaco,center
610378.3174757884,8758738.579077313,627,shihuahuaco,center
611040.400589989,8758747.119325235,628,caoba,center
610266.1072219046,8758550.908470962,629,shihuahuaco,center
610246.9284606472,8758597.214550467,630,shihuahuaco,center
611023.4532540813,8758753.34430444,631,caoba,center
610870.0394179453,8758758.937591692,632,caoba,center
610969.7499208796,8758633.20728865,633,caoba,center
611030.570170698,8758507.119068453,634,caoba,center
610239.2059532073,8758732.438521411,635,shihuahuaco,center
610594.1991749116,8758713.216360547,636,caoba,slide
610735.2017034948,8758720.112809999,637,caoba,slide
609618.0112629164,8753820.24850876,638,estoraque,center
610004.7914677295,8753833.862433884,639,estoraque,center
610027.3014526713,8753857.63845246,640,estoraque,center
610000.8096643132,8753858.89252511,641,estoraque,center
610054.7968314775,8753838.95615204,642,estoraque,center
610007.3377115498,8753817.47478517,643,estoraque,center
610104.8369790432,8753822.551227175,644,estoraque,center
610100.351138726,8753787.696883682,645,estoraque,center
610041.6722310963,8753560.109445503,646,estoraque,center
609796.5421541339,8753494.61554865,647,estoraque,center
609553.0522296095,8757566.513634631,648,azãºcar huayo,center
610567.2847665224,8756509.088504914,649,estoraque,slide
612205.2938870756,8752993.547562916,650,azãºcar huayo,slide
612172.2210333019,8752997.342264872,651,azãºcar huayo,slide
612222.0039471732,8753098.35088941,652,azãºcar huayo,slide
612102.9770994501,8753146.702563073,653,azãºcar huayo,center
612125.9338713638,8753169.814482167,654,azãºcar huayo,center
612110.6920318942,8753175.174685065,655,azãºcar huayo,center
612095.2010923561,8753174.136298167,656,azãºcar huayo,center
612090.2349269796,8753191.17674682,657,azãºcar huayo,slide
