id,label,x,y,final_status
989,catuaba,594545.5418352011,9145813.013902945,center
1033,catuaba,594748.0451411246,9145461.989609372,failed
1035,catuaba,594711.4264602398,9145485.545651792,center
1087,catuaba,594566.4857921884,9145817.949046228,center
1088,catuaba,594615.3329752994,9145870.452967241,failed
1117,catuaba,594636.3074426317,9145687.302567242,center
980,catahua,582691.7681891392,9139717.089812875,center
1000,catahua,582743.27474249,9140134.146499204,failed
1019,catahua,582934.6028279709,9139753.21810901,center
1020,catahua,582977.0189423935,9139805.101129929,center
1021,catahua,582934.4911489496,9139814.027492426,center
1022,catahua,582960.1739187469,9139806.896216186,center
1023,catahua,582873.6648266134,9140011.746090379,center
1024,catahua,582853.7937157649,9139816.423208753,center
1029,catahua,582758.3192842957,9140017.259263163,center
1043,catahua,582916.4849569874,9140109.253735017,center
1055,catahua,582773.692174802,9140087.912264885,failed
1072,copaiba,582123.9317443493,9139235.844147477,failed
991,quillobordon,583701.0641251202,9140332.083614508,center
992,quillobordon,583695.4595098357,9140121.243449247,center
993,quillobordon,583623.127734249,9140141.010931585,center
998,quillobordon,583814.13794533,9140262.7680757,center
999,quillobordon,583725.9173483513,9140322.125911973,center
1001,quillobordon,583836.462075627,9140460.323583862,center
1015,quillobordon,583563.6683746302,9140430.442646936,center
1016,quillobordon,583517.4417336578,9140412.56030708,center
1017,quillobordon,583554.2176763591,9140130.19250438,center
1018,quillobordon,583577.3542638053,9140367.248581473,center
1036,quillobordon,583390.3572003386,9140120.450476784,failed
1038,quillobordon,583576.8282510379,9140150.288800683,center
1039,quillobordon,583584.2507496679,9140164.08239613,center
1056,quillobordon,583644.4254473288,9140599.340772709,center
1065,quillobordon,583712.3674671418,9140599.911286626,center
1124,quillobordon,583358.4262081805,9140642.38521265,center
1171,quillobordon,583753.1892915843,9140154.706867833,center
1172,quillobordon,583500.917168189,9140228.14633273,center
962,lupuna,593506.7326590678,9145141.522065772,failed
973,lupuna,593851.0222975513,9144929.433954315,failed
974,lupuna,593845.6989219949,9145040.625091314,failed
1011,lupuna,593459.6078527562,9144854.663264336,failed
1012,lupuna,593460.8246998272,9144871.18738313,failed
1064,lupuna,593806.389402455,9144922.858918687,failed
1090,lupuna,593701.6307046283,9145043.097558789,failed
963,copaiba,592981.5258480252,9144417.673821678,center
965,copaiba,593008.180013068,9144749.594322631,center
967,copaiba,592870.750381405,9144593.08372589,failed
1013,copaiba,592980.9908902842,9144592.632602055,center
1077,copaiba,593035.9795760813,9144565.141791634,center
1080,copaiba,593133.148528413,9144462.837563755,failed
1152,copaiba,593082.847522916,9144648.404649029,failed
1180,copaiba,593112.986422393,9144605.492167225,center
959,pashaco,592484.7341121451,9145152.067309273,center
