,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
14905,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5070,7.511,80,23,51,Aprovechable,En Pie,18S,597221,9112194,PC 08,
14906,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5071,8.679,90,21,51,Aprovechable,En Pie,18S,597267,9112219,PC 08,
14907,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5078,4.041,60,22,51,Aprovechable,En Pie,18S,597703,9112220,PC 08,
14908,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5079,4.978,58,29,51,Semillero,En Pie,18S,597933,9112211,PC 08,
14909,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5080,19.104,120,26,51,Aprovechable,En Pie,18S,597973,9112214,PC 08,
14910,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5082,5.149,58,30,51,Semillero,En Pie,18S,598040,9112189,PC 08,
14911,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5099,5.751,70,23,51,Aprovechable,En Pie,18S,598452,9110735,PC 08,
14912,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,5106,16.899,120,23,51,Aprovechable,En Pie,18S,598691,9111235,PC 08,
14913,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,81,5116,6.531,80,20,51,Aprovechable,En Pie,18S,598014,9110162,PC 08,
14914,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,81,5119,6.467,65,30,51,Semillero,En Pie,18S,597918,9110166,PC 08,
14915,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,81,5122,7.501,70,30,51,Semillero,En Pie,18S,597808,9110177,PC 08,
14916,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,81,5153,11.226,100,22,51,Aprovechable,En Pie,18S,596414,9110168,PC 08,
14917,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5154,11.736,100,23,51,Aprovechable,En Pie,18S,598587,9109488,PC 08,
14918,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5161,11.736,100,23,51,Aprovechable,En Pie,18S,597382,9109487,PC 08,
14919,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5162,15.43,120,21,51,Aprovechable,En Pie,18S,597352,9109513,PC 08,
14920,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5164,25.002,140,25,51,Aprovechable,En Pie,18S,597284,9109457,PC 08,
14921,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5186,18.369,120,25,51,Aprovechable,En Pie,18S,596540,9109456,PC 08,
14922,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5192,7.251,70,29,51,Semillero,En Pie,18S,596352,9109503,PC 08,
14923,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,91,5194,20.696,130,24,51,Aprovechable,En Pie,18S,596314,9109484,PC 08,
14924,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,74,5301,6.908,95,15,51,Aprovechable,En Pie,18S,598034,9110683,PC 08,
14925,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,86,5304,3.894,67,17,51,Aprovechable,En Pie,18S,598697,9109819,PC 08,
14926,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5305,5.511,60,30,51,Semillero,En Pie,18S,597850,9110736,PC 08,
14927,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5307,16.165,120,22,51,Aprovechable,En Pie,18S,597502,9110695,PC 08,
14928,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5308,8.266,90,20,51,Aprovechable,En Pie,18S,597454,9110738,PC 08,
14929,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,86,5314,9.185,100,18,51,Aprovechable,En Pie,18S,597405,9109856,PC 08,
14930,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5318,6.858,80,21,51,Aprovechable,En Pie,18S,596727,9110736,PC 08,
14931,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,86,5320,4.247,68,18,51,Aprovechable,En Pie,18S,597100,9109811,PC 08,
14932,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5321,6.027,75,21,51,Aprovechable,En Pie,18S,596563,9110722,PC 08,
14933,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,73,5325,3.674,60,20,51,Aprovechable,En Pie,18S,596265,9110763,PC 08,
